index,YEAR_,QUARTER_,DATE_
89.3,1990.0,1.0,Q1 1990
90.6,1990.0,2.0,Q2 1990
89.1,1990.0,3.0,Q3 1990
88.3,1990.0,4.0,Q4 1990
87.2,1991.0,1.0,Q1 1991
86.2,1991.0,2.0,Q2 1991
85.5,1991.0,3.0,Q3 1991
86.4,1991.0,4.0,Q4 1991
86.4,1992.0,1.0,Q1 1992
85.9,1992.0,2.0,Q2 1992
86.8,1992.0,3.0,Q3 1992
87.3,1992.0,4.0,Q4 1992
87.5,1993.0,1.0,Q1 1993
87.8,1993.0,2.0,Q2 1993
88.7,1993.0,3.0,Q3 1993
89.9,1993.0,4.0,Q4 1993
91.2,1994.0,1.0,Q1 1994
93.1,1994.0,2.0,Q2 1994
93.8,1994.0,3.0,Q3 1994
95.0,1994.0,4.0,Q4 1994
94.0,1995.0,1.0,Q1 1995
94.8,1995.0,2.0,Q2 1995
95.3,1995.0,3.0,Q3 1995
95.6,1995.0,4.0,Q4 1995
96.2,1996.0,1.0,Q1 1996
95.6,1996.0,2.0,Q2 1996
96.0,1996.0,3.0,Q3 1996
97.0,1996.0,4.0,Q4 1996
97.3,1997.0,1.0,Q1 1997
97.3,1997.0,2.0,Q2 1997
97.9,1997.0,3.0,Q3 1997
97.7,1997.0,4.0,Q4 1997
98.5,1998.0,1.0,Q1 1998
98.8,1998.0,2.0,Q2 1998
98.6,1998.0,3.0,Q3 1998
98.2,1998.0,4.0,Q4 1998
98.7,1999.0,1.0,Q1 1999
99.1,1999.0,2.0,Q2 1999
100.4,1999.0,3.0,Q3 1999
100.7,1999.0,4.0,Q4 1999
101.2,2000.0,1.0,Q1 2000
101.8,2000.0,2.0,Q2 2000
101.5,2000.0,3.0,Q3 2000
101.9,2000.0,4.0,Q4 2000
101.9,2001.0,1.0,Q1 2001
100.3,2001.0,2.0,Q2 2001
99.9,2001.0,3.0,Q3 2001
97.9,2001.0,4.0,Q4 2001
97.8,2002.0,1.0,Q1 2002
97.6,2002.0,2.0,Q2 2002
97.4,2002.0,3.0,Q3 2002
97.1,2002.0,4.0,Q4 2002
97.2,2003.0,1.0,Q1 2003
96.9,2003.0,2.0,Q2 2003
97.4,2003.0,3.0,Q3 2003
97.9,2003.0,4.0,Q4 2003
97.5,2004.0,1.0,Q1 2004
98.7,2004.0,2.0,Q2 2004
97.5,2004.0,3.0,Q3 2004
97.4,2004.0,4.0,Q4 2004
96.7,2005.0,1.0,Q1 2005
